ID,Gender,Percent_SSC,Board_SSC,Percent_HSC,Board_HSC,Stream_HSC,Percent_Degree,Course_Degree,Experience_Yrs,Entrance_Test,S-TEST,Percentile_ET,S-TEST*SCORE,Percent_MBA,Specialization_MBA,Marks_Communication,Marks_Projectwork,Marks_BOCA
31,F,56,ICSE,72,ISC,Commerce,72,Commerce,0,MAT,1,43,43,58.73,Marketing & Finance,58,73,61
32,M,54,CBSE,67,CBSE,Commerce,61,Management,0,MAT,1,67,67,56.49,Marketing & Finance,53,71,74
33,M,74.67,Others,59.89,Others,Commerce,66.67,Management,0,MAT,1,89,89,60.39,Marketing & Finance,52,65,60
34,M,74.81,ICSE,75.32,ISC,Commerce,48.23,Commerce,0,MAT,1,83,83,53.37,Marketing & Finance,54,60,53
35,M,60,CBSE,60,CBSE,Commerce,73,Commerce,0,MAT,1,83,83,58.87,Marketing & Finance,55,74,68
36,M,58,Others,54.5,Others,Commerce,49.85,Commerce,0,,0,0,0,62.89,Marketing & Finance,55,67,73
37,M,61,CBSE,55,ISC,Science,54,Engineering,1,MAT,1,66,66,59.43,Marketing & HR,52,65,67
38,M,58,ICSE,59,ISC,Commerce,56,Management,0,,0,0,0,55.1,Marketing & Finance,50,57,50
39,F,69,Others,78.2,CBSE,Commerce,65,Management,0,MAT,1,50,50,62.5,Marketing & Finance,65,63,59
40,F,55.23,CBSE,64,CBSE,Science,60,Management,0,MAT,1,72,72,59.47,Marketing & Finance,54,73,63
41,M,52,Others,42,CBSE,Science,69,Others,0,MAT,1,63,63,51.21,Marketing & Finance,51,50,50
42,F,67,Others,52,Others,Science,65,Management,0,MAT,1,55.5,55.5,58.4,Marketing & HR,57,74,60
43,M,44,CBSE,45,CBSE,Science,64,Management,0,MAT,1,97,97,53.39,Marketing & Finance,60,58,58
44,M,52.8,CBSE,63.4,CBSE,Commerce,58.6,Management,2,MAT,1,82.66,82.66,64.34,Marketing & Finance,58,74,68
45,M,55,Others,74.67,Others,Arts,59,Computer Applications,2,GCET,1,50,50,60.43,Marketing & Finance,51,69,80
46,F,74.4,Others,52,Others,Science,58.74,Science,1,MAT,1,92,92,63.62,Marketing & Finance,62,87,73
47,F,67,CBSE,48,Others,Science,65,Management,0,MAT,1,55.6,55.6,65.63,Marketing & HR,66,78,62
48,F,55,ICSE,69,ISC,Commerce,65,Commerce,0,MAT,1,55,55,62.93,Marketing & Finance,50,75,66
49,F,84,Others,60,Others,Science,79,Management,1,MAT,1,88,88,72.78,Marketing & Finance,73,83,77
50,M,72,Others,78,Others,Commerce,66.63,Engineering,0,,0,0,0,52.91,Marketing & Finance,50,61,59
51,M,53.8,Others,46.3,Others,Science,66.1,Management,0,MAT,1,30.71,30.71,56,Marketing & Finance,53,55,55
52,M,59,CBSE,75,CBSE,Commerce,65,Management,0,MAT,1,35,35,62.51,Marketing & Finance,59,76,56
53,M,62.6,Others,50.6,Others,Commerce,52,Management,0,MAT,1,34.53,34.53,58.63,Marketing & HR,62,57,56
54,M,77,Others,65,Others,Science,70,Science,0,MAT,1,87,87,71.04,Marketing & HR,70,73,84
55,M,81.86,Others,62,Others,Science,76,Management,0,MAT,1,95.5,95.5,68.53,Marketing & Finance,54,67,77
56,M,59.4,CBSE,66.12,CBSE,Commerce,58.2,Management,0,MAT,1,67,67,62.65,Marketing & HR,54,65,53
57,M,70.24,Others,42.83,Others,Science,60.27,Engineering,2,MAT,1,64,64,66.23,Marketing & Finance,65,82,79
58,M,63.2,CBSE,67.8,CBSE,Commerce,62.6,Commerce,2,MAT,1,96,96,70.85,Marketing & Finance,53,76,72
59,M,54.07,Others,70.33,Others,Commerce,59,Commerce,1,MAT,1,48.38,48.38,55.87,Marketing & HR,58,56,54
60,M,65,CBSE,55,ISC,Science,60,Science,0,MAT,1,61.28,61.28,60.11,Marketing & HR,62,72,65
61,M,60,CBSE,63,CBSE,Arts,58,Management,0,MAT,1,75,75,57.8,Marketing & Finance,54,66,62
62,M,78,Others,63,Others,Science,58,Engineering,0,MAT,1,93,93,62.56,Marketing & Finance,58,67,70
63,M,73,Others,48,Others,Science,56,Commerce,0,,0,0,0,60.03,Marketing & HR,50,73,58
64,M,62,Others,62,Others,Commerce,71,Commerce,3,MAT,1,59,59,69.72,Marketing & Finance,63,71,61
65,F,75,ICSE,74,Others,Commerce,78,Commerce,0,MAT,1,60,60,66.72,Marketing & Finance,71,69,67
66,M,60,Others,52.8,Others,Science,73.25,Computer Applications,1,MAT,1,55,55,51.58,Marketing & Finance,53,52,58
67,F,74,ICSE,84,ISC,Commerce,53,Commerce,0,MAT,1,68,68,68.63,Marketing & Finance,71,86,54
68,M,66.08,Others,53,Others,Science,56,Engineering,0,MAT,1,71,71,65.69,Marketing & Finance,58,75,73
69,M,54,Others,60,Others,Commerce,60,Commerce,0,MAT,1,50,50,56.7,Marketing & HR,55,69,59
70,M,78,Others,78,Others,Science,51,Science,0,,0,0,0,55.02,Marketing & Finance,54,56,50
71,M,67,Others,55,Others,Science,75.5,Computer Applications,1,MAT,1,78,78,54.48,Marketing & Finance,53,68,77
72,M,67,Others,54,Others,Science,54,Arts,1,MAT,1,68.44,68.44,62.77,Marketing & HR,59,68,60
73,M,82.8,CBSE,70.6,CBSE,Commerce,69.3,Commerce,0,MAT,1,96.8,96.8,55.5,Marketing & Finance,65,76,70
74,M,60,ICSE,59.8,Others,Commerce,65.5,Commerce,1,MAT,1,56,56,56.94,Marketing & Finance,57,65,50
75,M,75,Others,65,Others,Science,59,Computer Applications,1,,0,0,0,56.19,Marketing & Finance,57,50,71
76,F,70,Others,54,Others,Science,65,Others,2,,0,0,0,59.8,Marketing & HR,63,56,50
77,F,46,CBSE,65,Others,Science,71,Management,0,MAT,1,92.66,92.66,62.92,Marketing & HR,55,71,82
78,M,59,CBSE,62,CBSE,Commerce,50,Commerce,0,CAT,1,79,79,56.51,Marketing & Finance,58,61,50
79,M,77,Others,68,Others,Commerce,73,Commerce,0,MAT,1,61,61,58.78,Marketing & Finance,52,68,74
80,M,60,CBSE,74,CBSE,Commerce,65,Management,0,MAT,1,60,60,61.82,Marketing & HR,57,72,50
81,F,78.89,Others,79.98,Others,Science,71.6,Management,0,MAT,1,68,68,71.63,Marketing & HR,71,76,64
82,F,37.3,Others,44.4,Others,Commerce,35,Commerce,0,,0,0,0,61.66,Marketing & Finance,62,66,69
83,M,60.4,ICSE,51.8,ISC,Commerce,74.8,Commerce,0,K-MAT,1,94.3,94.3,51.24,Marketing & Finance,53,50,50
84,M,55,ICSE,68,Others,Science,71,Science,1,MAT,1,86,86,56.09,Marketing & HR,58,65,58
85,F,74.44,ICSE,89,Others,Commerce,70,Commerce,1,MAT,1,94,94,67.13,Marketing & Finance,70,69,63
86,M,69,CBSE,65,CBSE,Science,68,Management,1,MAT,1,60,60,57.24,Marketing & Finance,50,67,51
87,M,62,CBSE,64.3,CBSE,Commerce,66,Management,0,,0,0,0,59.84,Marketing & HR,55,59,63
88,M,48.6,CBSE,59.8,CBSE,Commerce,66.2,Management,0,MAT,1,84.27,84.27,67.2,Marketing & Finance,52,70,71
89,M,59,ICSE,81,Others,Commerce,70,Commerce,0,,0,0,0,71.86,Marketing & Finance,79,73,66
90,M,82.6,CBSE,64,CBSE,Science,56,Management,1,PGCET,1,0,0,68.85,Marketing & Finance,71,76,60
91,F,68,CBSE,74,CBSE,Commerce,70,Management,2,MAT,1,68,68,64.08,Marketing & HR,63,79,77
92,M,58,CBSE,75,Others,Science,68,Engineering,1,,0,0,0,55.6,Marketing & Finance,53,75,52
93,M,57,CBSE,62.4,CBSE,Commerce,48,Commerce,1,MAT,1,66.6,66.6,56.75,Marketing & Finance,52,71,69
94,M,70,CBSE,75,CBSE,Commerce,60,Commerce,0,MAT,1,77,77,51.29,Marketing & Finance,60,56,52
95,F,81,CBSE,81,CBSE,Commerce,82.2,Management,0,,0,0,0,66.9,Marketing & Finance,68,68,76
96,M,69.2,CBSE,84.6,Others,Commerce,75.25,Commerce,1,MAT,1,75.2,75.2,66.06,Marketing & Finance,66,74,55
97,M,84,CBSE,69,CBSE,Science,61,Engineering,2,MAT,1,75,75,72.29,Marketing & HR,83,62,66
98,M,58,CBSE,67,CBSE,Commerce,64,Commerce,0,MAT,1,78,78,60.44,Marketing & HR,54,70,60
99,F,50,CBSE,60,Others,Science,71,Management,0,MAT,1,62,62,65.04,Marketing & HR,55,61,59
100,M,50,Others,52,Others,Science,70,Computer Applications,0,MAT,1,74,74,53.62,Marketing & Finance,50,74,50
101,M,68.4,ICSE,85.6,ISC,Commerce,72,Commerce,1,CAT,1,70,70,63.26,Marketing & Finance,75,72,57
102,M,58,CBSE,70,Others,Science,67.75,Engineering,1,,0,0,0,57.68,Marketing & Finance,67,74,53
103,F,56,ICSE,74.6,ISC,Commerce,60.2,Commerce,2,,0,0,0,63.53,Marketing & Finance,65,76,80
104,F,76,ICSE,82,ISC,Commerce,70.8,Commerce,1,,0,0,0,69.52,Marketing & Finance,69,74,71
105,M,68,CBSE,75,Others,Commerce,61,Commerce,2,MAT,1,95.46,95.46,62.16,Marketing & Finance,62,72,73
106,F,78.5,ICSE,70.5,Others,Commerce,65,Commerce,0,MAT,1,93.91,93.91,69.03,Marketing & Finance,70,73,80
107,M,55.4,CBSE,61.6,Others,Science,59,Management,0,MAT,1,71,71,52.71,Marketing & HR,56,67,52
108,M,70,CBSE,76,CBSE,Commerce,68,Management,0,MAT,1,91.34,91.34,61.29,Marketing & Finance,63,63,75
109,M,64.96,Others,45.16,Others,Science,65.26,Computer Applications,1,MAT,1,54.48,54.48,65.48,Marketing & HR,69,75,61
110,M,40.53,Others,64.75,Others,Commerce,54.35,Commerce,1,,0,0,0,54.35,Marketing & Finance,52,73,67
111,F,70,Others,50,Others,Science,60,Management,0,MAT,1,53.7,53.7,56.86,Marketing & HR,53,63,56
112,M,64,Others,52,Others,Commerce,61,Management,0,MAT,1,87.55,87.55,52.81,Marketing & Finance,54,60,67
113,F,82.3,Others,73,Others,Science,72.3,Science,1,,0,0,0,69.35,Marketing & Finance,74,68,84
114,F,74,Others,53,Others,Commerce,64,Management,2,MAT,1,57.5,57.5,61.31,Marketing & Finance,62,73,54
115,F,65,CBSE,78,Others,Commerce,75,Commerce,1,CAT,1,53,53,60.91,Marketing & Finance,56,73,69
116,F,58.29,Others,55,Others,Science,61,Management,0,K-MAT,1,71,71,56.81,Marketing & Finance,64,66,57
117,M,64,CBSE,55,Others,Science,59,Management,1,MAT,1,55,55,58.23,Marketing & HR,59,72,68
118,M,65,CBSE,57,CBSE,Commerce,57,Commerce,0,,0,0,0,59.1,Marketing & Finance,54,59,61
119,M,55,Others,52,Others,Commerce,54.2,Management,0,CAT,1,20,20,55.83,Marketing & Finance,54,63,68
120,M,54,Others,52,Others,Science,62,Science,2,K-MAT,1,86,86,61.79,Marketing & HR,67,79,68
121,M,46,CBSE,54,Others,Commerce,65,Management,0,MAT,1,71.32,71.32,52.36,Marketing & Finance,50,72,58
122,F,72,ICSE,57.8,Others,Science,49.8,Management,1,,0,0,0,53.47,Marketing & HR,73,58,50
123,F,64,Others,57,Others,Commerce,65,Management,1,MAT,1,67,67,62.35,Marketing & HR,56,67,52
124,M,79,CBSE,59,CBSE,Science,60,Science,1,MAT,1,67,67,62.14,Marketing & Finance,54,78,62
125,F,82,Others,87,Others,Commerce,80,Commerce,0,MAT,1,92,92,68.03,Marketing & Finance,76,69,74
126,F,74,Others,68,Others,Commerce,79,Management,1,MAT,1,89,89,69.7,Marketing & Finance,68,77,76
127,M,78,Others,47,Others,Science,53,Engineering,0,K-MAT,1,84,84,56.12,Marketing & Finance,60,66,68
128,M,66,Others,46,Others,Commerce,65,Management,0,PGCET,1,0,0,54.65,Marketing & Finance,53,60,65
129,F,49,Others,52.2,Others,Commerce,85,Commerce,0,MAT,1,74.28,74.28,53.29,Marketing & Finance,50,65,74
130,M,49,Others,55,Others,Science,57,Science,1,MAT,1,49,49,58.56,Marketing & Finance,50,59,55
131,M,70,CBSE,75,CBSE,Science,71,Science,1,MAT,1,85,85,65.83,Marketing & HR,63,64,79
132,M,75.9,Others,70,Others,Science,73,Engineering,1,MAT,1,58.1,58.1,75.71,Marketing & Finance,70,74,71
133,F,76,Others,56,Others,Science,73.5,Engineering,1,MAT,1,70,70,68.2,Marketing & Finance,55,76,61
134,F,80.32,Others,55,Others,Science,50,Engineering,0,PGCET,1,0,0,62.29,Marketing & IB,67,70,76
135,F,53.44,Others,70,Others,Arts,70,Management,0,K-MAT,1,14.99,14.99,57.98,Marketing & Finance,56,77,61
136,F,71,ICSE,52,Others,Science,65,Management,0,MAT,1,78,78,65.56,Marketing & HR,66,84,77
137,M,60,ICSE,65,Others,Science,67,Arts,1,,0,0,0,55.4,Marketing & HR,50,67,50
138,M,72.64,Others,47.34,Others,Science,83.33,Computer Applications,0,CAT,1,73,73,65.8,Marketing & HR,72,75,78
139,F,48,Others,62,Others,Commerce,62,Management,1,MAT,1,56.39,56.39,64.95,Marketing & HR,72,66,64
140,F,84,CBSE,72,CBSE,Science,78,Science,0,MAT,1,58,58,66.53,Marketing & HR,71,58,50
141,F,78.7,Others,71,Others,Commerce,49,Commerce,0,MAT,1,92,92,66.86,Marketing & Finance,60,50,77
142,M,87.2,Others,67.5,Others,Science,60.31,Engineering,1,K-MAT,1,88,88,70.1,Marketing & HR,69,77,73
143,F,85,ICSE,67,CBSE,Science,76,Arts,0,MAT,1,82,82,71.43,Marketing & HR,68,75,80
144,M,78,Others,52,ISC,Science,66,Management,1,K-MAT,1,79,79,52.41,Marketing & IB,53,57,54
145,F,60,Others,57,Others,Science,60,Science,0,,0,0,0,59.15,Marketing & Finance,50,65,63
146,M,61,CBSE,52,Others,Science,50,Commerce,1,,0,0,0,65.13,Marketing & Finance,65,70,66
147,M,55,CBSE,61.2,CBSE,Commerce,59.6,Management,1,MAT,1,60,60,62.54,Marketing & Finance,67,66,58
148,F,52,Others,59,Others,Arts,38,Arts,1,MAT,1,40,40,62.01,Marketing & HR,52,69,64
149,M,50,Others,53,Others,Commerce,55,Management,0,MAT,1,58,58,53.94,Marketing & HR,50,70,55
150,M,59,ICSE,90,Others,Commerce,67,Computer Applications,0,MAT,1,50,50,59.47,Marketing & Finance,63,77,66
151,F,67.67,ICSE,75,Others,Commerce,67.8,Commerce,0,MAT,1,49.94,49.94,67.44,Marketing & Finance,72,66,69
152,M,59.6,CBSE,80.83,Others,Commerce,67.72,Commerce,0,MAT,1,86,86,59.75,Marketing & Finance,54,68,60
153,M,53.3,CBSE,57.5,ISC,Commerce,59.7,Management,0,,0,0,0,56.11,Marketing & HR,57,70,71
154,M,53.43,Others,64.93,Others,Commerce,53,Management,1,GCET,1,40,40,60.76,Marketing & Finance,51,73,66
155,F,64.8,Others,52.8,Others,Science,68.23,Engineering,0,MAT,1,55.53,55.53,68.81,Marketing & IB,68,63,60
156,M,55,ICSE,64,CBSE,Commerce,50,Commerce,0,,0,0,0,56.81,Marketing & Finance,53,70,53
157,M,56,Others,57,Others,Commerce,59,Commerce,0,MAT,1,62,62,56.81,Marketing & Finance,50,73,50
158,M,69,Others,51,Others,Commerce,69,Management,1,MAT,1,60,60,56.7,Marketing & HR,52,60,72
159,M,81.2,CBSE,64.4,CBSE,Science,59,Engineering,1,MAT,1,80,80,52.72,Marketing & HR,62,67,65
160,F,49.8,CBSE,51.2,CBSE,Commerce,46.22,Commerce,2,,0,0,0,57.32,Marketing & Finance,50,79,79
161,M,71,ICSE,51,Others,Science,74,Computer Applications,1,PGCET,1,85,85,59.99,Marketing & HR,65,79,73
162,M,58,Others,54,Others,Commerce,64,Management,0,MAT,1,64,64,62.46,Marketing & Finance,50,71,60
163,M,77.92,Others,75.5,Others,Commerce,63,Commerce,0,MAT,1,68.71,68.71,60.99,Marketing & Finance,67,77,60
164,F,57.58,Others,59.6,CBSE,Commerce,50.2,Commerce,1,MAT,1,76,76,65.33,Marketing & Finance,65,75,69
165,M,63.33,Others,51,Others,Commerce,58.7,Commerce,2,,0,0,0,69.67,Marketing & Finance,62,65,81
166,M,79,Others,87,Others,Commerce,81,Management,0,MAT,1,80,80,73.52,Marketing & HR,71,64,71
167,F,72.2,CBSE,70.2,CBSE,Science,64.4,Management,0,MAT,1,65,65,62.98,Marketing & HR,52,58,75
168,F,50,CBSE,64,CBSE,Arts,68,Management,1,MAT,1,78,78,61.58,Marketing & Finance,54,66,75
169,M,37.33,Others,47.4,Others,Commerce,35.5,Commerce,0,,0,0,0,54.78,Marketing & HR,50,57,50
170,M,37,Others,53,Others,Commerce,60,Commerce,0,MAT,1,48,48,52.64,Marketing & IB,57,71,58
171,M,71,Others,59,CBSE,Commerce,63,Commerce,1,MAT,1,35,35,54.04,Marketing & HR,56,65,50
172,M,73.5,Others,94.7,Others,Science,76.86,Engineering,0,MAT,1,97.4,97.4,74.01,Marketing & Finance,60,69,82
173,M,75.66,ICSE,71.5,Others,Commerce,58.35,Commerce,0,CAT,1,56.39,56.39,66.5,Marketing & Finance,74,69,56
174,F,46,CBSE,62,CBSE,Commerce,58,Management,0,,0,0,0,57.83,Marketing & Finance,54,78,65
175,M,60,CBSE,66.5,Others,Commerce,56.8,Management,1,MAT,1,57,57,56.6,Marketing & Finance,50,72,65
176,M,66.8,Others,50,Others,Commerce,56.38,Commerce,1,MAT,1,57,57,56.13,Marketing & Finance,50,69,69
177,M,67,CBSE,50,CBSE,Commerce,52,Commerce,0,MAT,1,76,76,54.96,Marketing & HR,50,63,59
178,M,69,Others,75,CBSE,Commerce,49,Commerce,1,MAT,1,75,75,60.77,Marketing & Finance,61,73,62
179,F,60,CBSE,72,CBSE,Commerce,65,Management,1,MAT,1,72,72,64.66,Marketing & Finance,57,74,81
180,M,54,CBSE,47,CBSE,Commerce,59,Management,0,MAT,1,64,64,51.45,Marketing & Finance,64,63,56
181,M,65,CBSE,58,Others,Science,66,Science,2,MAT,1,55,55,62,Marketing & Finance,55,71,75
182,M,46,Others,58,Others,Commerce,49,Commerce,1,,0,0,0,56.78,Marketing & HR,56,75,70
183,M,77.4,ICSE,68.4,ISC,Science,75.72,Science,1,MAT,1,81.2,81.2,76.26,Marketing & HR,83,75,79
184,M,80.33,ICSE,75,Others,Commerce,55,Commerce,1,MAT,1,88.56,88.56,71.55,Marketing & Finance,74,77,54
185,F,58.8,Others,45,Others,Science,57.7,Management,1,,0,0,0,60,Marketing & HR,57,71,59
186,F,43.89,Others,48.83,Others,Commerce,55,Commerce,2,MAT,1,71.2,71.2,65.49,Marketing & HR,66,74,53
187,M,73.4,Others,75,Others,Science,64.38,Management,1,CAT,1,78,78,76.72,Marketing & HR,87,79,65
188,M,84.2,CBSE,67.8,CBSE,Science,55,Engineering,1,K-MAT,1,84,84,70.71,Marketing & IB,72,63,70
189,M,65.92,Others,86,Others,Commerce,72,Commerce,1,K-MAT,1,66,66,66.22,Marketing & Finance,80,63,55
190,M,60,CBSE,80,Others,Commerce,84,Commerce,0,K-MAT,1,95.5,95.5,72.97,Marketing & HR,83,76,74
191,M,60.6,CBSE,66.6,CBSE,Commerce,55.7,Management,0,K-MAT,1,76.2,76.2,58.67,Marketing & HR,54,66,57
192,F,78.94,Others,77.83,Others,Commerce,77,Commerce,3,,0,0,0,68.55,Marketing & HR,69,76,84
193,M,52,CBSE,49,CBSE,Commerce,66,Commerce,0,PGCET,1,0,0,54.12,Marketing & IB,51,72,63
194,F,77.7,CBSE,50,CBSE,Commerce,78.7,Computer Applications,0,MAT,1,79,79,59.24,Marketing & HR,58,64,74
195,M,78,Others,73,Others,Commerce,68,Commerce,0,MAT,1,49,49,64.79,Marketing & Finance,73,70,73
196,F,61.5,ICSE,61.8,ISC,Arts,65.3,Management,2,MAT,1,80.4,80.4,71,Marketing & Finance,83,73,64
197,F,61,ICSE,76,ISC,Arts,48,Arts,0,MAT,1,79,79,63.91,Marketing & HR,56,61,60
198,M,78.7,Others,55,Others,Science,63,Management,1,MAT,1,86,86,70.2,Marketing & Finance,66,64,75
199,F,81,CBSE,68,CBSE,Commerce,69,Management,0,MAT,1,75,75,73.33,Marketing & Finance,82,67,61
200,F,75,Others,77,Others,Commerce,73,Management,0,MAT,1,48,48,64.19,Marketing & HR,58,57,80
201,M,77.44,Others,77.83,Others,Commerce,71,Management,0,,0,0,0,67.53,Marketing & Finance,60,76,77
202,M,64,Others,60,Others,Commerce,51,Management,0,MAT,1,73,73,55.8,Marketing & IB,56,57,53
203,M,59,ICSE,57,ISC,Commerce,55,Commerce,3,K-MAT,1,65,65,59.54,Marketing & Finance,55,76,62
204,M,60,ICSE,59.5,ISC,Commerce,65.5,Commerce,1,,0,0,0,57.24,Marketing & Finance,50,65,78
205,F,64.5,CBSE,65,ISC,Science,68,Computer Applications,0,MAT,1,57.2,57.2,54.8,Marketing & HR,61,75,50
206,M,63.68,Others,58.19,Others,Commerce,72.24,Commerce,0,MAT,1,36.56,36.56,66.18,Marketing & Finance,71,73,63
207,M,66,CBSE,66.33,CBSE,Commerce,66.72,Commerce,0,,0,0,0,66.92,Marketing & Finance,70,73,64
208,M,73.76,Others,73.5,Others,Commerce,63.5,Management,2,MAT,1,73.35,73.35,64.15,Marketing & Finance,68,78,65
209,M,70,CBSE,55,Others,Science,72,Management,0,CAT,1,50,50,67.94,Marketing & Finance,77,70,54
210,F,55,Others,57,Others,Science,57,Science,1,MAT,1,67,67,59.32,Marketing & HR,50,67,59
211,M,74,Others,85,Others,Commerce,60,Commerce,0,MAT,1,58.89,58.89,60.36,Marketing & Finance,64,67,63
212,M,59.2,CBSE,68,Others,Science,60,Management,1,MAT,1,79,79,58.44,Marketing & HR,52,64,63
213,M,46,Others,41,Others,Commerce,43,Commerce,1,MAT,1,64,64,58.85,Marketing & Finance,52,73,67
214,M,62,ICSE,66,CBSE,Science,60.33,Arts,1,MAT,1,64,64,61.26,Marketing & HR,53,56,80
215,F,73,Others,74,Others,Science,56,Management,0,K-MAT,1,96,96,61.41,Marketing & Finance,69,68,70
216,M,81,Others,87.9,Others,Science,58.5,Engineering,0,MAT,1,86.04,86.04,59.42,Marketing & Finance,50,67,58
217,F,70,Others,55,Others,Science,62,Management,0,MAT,1,89,89,60.5,Marketing & Finance,50,79,70
218,M,56,CBSE,47,CBSE,Science,61.17,Management,0,MAT,1,46.92,46.92,62.4,Marketing & Finance,60,66,56
219,F,84,Others,77,Others,Commerce,80,Commerce,0,,0,0,0,66.61,Marketing & Finance,70,77,83
220,F,59,CBSE,74,CBSE,Arts,59,Management,1,,0,0,0,63.83,Marketing & HR,50,59,77
221,F,76,Others,50,Others,Science,75,Computer Applications,1,,0,0,0,66,Marketing & HR,60,66,75
222,M,75,CBSE,60,CBSE,Science,69,Computer Applications,1,CAT,1,80,80,66.39,Marketing & Finance,60,71,68
223,M,82,Others,72,Others,Commerce,66,Commerce,0,MAT,1,26.53,26.53,60.39,Marketing & Finance,72,56,62
224,F,76,CBSE,73,CBSE,Science,59.6,Engineering,0,MAT,1,58,58,55.47,Marketing & HR,58,59,58
225,M,44.4,Others,60.6,Others,Commerce,61,Management,0,K-MAT,1,63,63,56.98,Marketing & Finance,52,62,54
226,M,68,Others,67,Others,Science,69,Engineering,0,MAT,1,87.5,87.5,60.69,Marketing & IB,61,71,57
227,M,67,Others,76,Others,Commerce,60,Management,0,MAT,1,48.38,48.38,50.83,Marketing & HR,54,57,51
228,M,55,Others,50,Others,Science,57,Management,0,MAT,1,49.7,49.7,59.71,Marketing & HR,64,74,54
229,F,51,CBSE,56,CBSE,Commerce,62,Commerce,1,MAT,1,60,60,58.79,Marketing & HR,61,65,82
230,M,56.5,Others,61,Others,Commerce,60,Management,1,,0,0,0,59.5,Marketing & HR,52,69,67
231,F,81,Others,72,Others,Science,65,Computer Applications,1,MAT,1,62,62,62.36,Marketing & HR,68,75,79
232,F,68,Others,79,Others,Science,64,Engineering,0,,0,0,0,62.89,Marketing & HR,52,61,69
233,F,66.5,ICSE,58.8,Others,Science,57.8,Management,0,CAT,1,60,60,63.42,Marketing & HR,74,69,51
